X,Y,OBJECTID,ACCPRKID,STREET_NAME,FROM_STR,TO_STR,NUMSPOTS,DURATION,QUALIFIER,STATUS,COMMENTS,DIRECTION,ADJSURFMAT,OBSTRUCT,LOC_HILL,ADDDATE,MODDATE,SDATE,SOURCE,SACC,WINT_PLOW,WINT_MAINT,WINT_ROUTE,WINT_LOS,WINT_MAT,WINT_COMM,WINT_ADDBY,WINT_ADDDATE,WINT_MODBY,WINT_MODDATE
-63.57053015,44.64323413,74765,AP240,HOLLIS ST,BISHOP ST,MORRIS ST,1,HR3,,INS,,S,CONCRETE,N,N,2020/10/05 16:54:02+00,2020/11/26 02:17:58+00,2020/10/05 03:00:00+00,Traffic Services,IN,Y,HRM1,R2,PRI2,,,,,,
-63.57215503,44.64642176,74766,AP238,HOLLIS ST,SACKVILLE ST,SALTER ST,1,HR3,,INS,,S,CONCRETE,N,N,2020/10/05 16:48:49+00,2020/11/26 02:17:58+00,2020/10/05 03:00:00+00,Traffic Services,IN,Y,HRM1,R1,PRI2,,,,,,
-63.57334541,44.64873317,74767,AP236,HOLLIS ST,DUKE ST,GEORGE ST,1,HR3,,INS,,S,CONCRETE,N,N,2020/10/05 16:37:51+00,2020/11/26 02:17:58+00,2020/10/05 03:00:00+00,Traffic Services,IN,Y,HRM1,R1,PRI2,,,,,,
-63.56986568,44.64190287,74768,AP242,HOLLIS ST,MORRIS ST,TERMINAL RD,1,HR3,,INS,,S,CONCRETE,N,N,2020/10/05 16:56:38+00,2020/11/26 02:17:58+00,2020/10/05 03:00:00+00,Traffic Services,IN,Y,HRM1,R2,PRI2,,,,,,
-63.57138701,44.64491899,74769,AP239,HOLLIS ST,SALTER ST,BISHOP ST,1,HR3,,INS,,S,CONCRETE,N,N,2020/10/05 16:50:53+00,2020/11/26 02:17:58+00,2020/10/05 03:00:00+00,Traffic Services,IN,Y,HRM1,R1,PRI2,,,,,,
-63.57259046,44.64722386,74770,AP237,HOLLIS ST,PRINCE ST,SACKVILLE ST,1,HR3,,INS,,S,CONCRETE,N,N,2020/10/05 16:42:50+00,2020/11/26 02:17:58+00,2020/10/05 03:00:00+00,Traffic Services,IN,Y,HRM1,R1,PRI2,,,,,,
-63.57018093,44.6425455,74771,AP241,HOLLIS ST,BISHOP ST,MORRIS ST,1,HR3,,INS,,S,CONCRETE,N,N,2020/10/05 16:54:41+00,2020/11/26 02:17:58+00,2020/10/05 03:00:00+00,Traffic Services,IN,Y,HRM1,R2,PRI2,,,,,,
-63.57236776,44.64821991,74773,AP82,BEDFORD ROW,PRINCE ST,GEORGE ST,2,HR2,,INS,,N,CONCRETE,N,N,2019/10/16 21:23:35+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R1,PRI2,,ACCESSIBLE PARKING - HR2 - SPOT(S) = 2,,,,
-63.58662883,44.63971915,74774,AP147,ROBIE ST,COBURD RD,COLLEGE ST,1,NTR,,INS,,S,GRASS,Y,N,2019/10/18 16:58:20+00,2020/11/26 02:17:55+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ5,,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 1,,,,
-63.57990559,44.63532028,74775,AP201,LUNDY'S LANE,WEST OF WELLINGTON,,1,MIN30,,INS,,W,CONCRETE,N,N,2019/10/18 16:58:20+00,2020/11/26 02:17:55+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ5,,PRI2,,ACCESSIBLE PARKING - MIN30 - SPOT(S) = 1,,,,
-63.59307573,44.65392549,74776,AP91,CHARLES ST,DAVISON ST,JOHN ST,2,NTR,,INS,,NE,CONCRETE,Y,N,2019/10/17 18:53:00+00,2020/11/26 02:17:53+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ6,RB,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 2,,,,
-63.57790137,44.64301005,74778,AP99,DRESDEN ROW,SPRING GARDEN RD,ARTILLERY PL,1,HR1,,INS,,N,CONCRETE,Y,Y,2019/10/18 15:21:50+00,2020/11/26 02:17:58+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R4,PRI2,,ACCESSIBLE PARKING - HR1 - SPOT(S) = 1,,,,
-63.57551115,44.64723151,74779,AP108,GRAFTON ST,PRINCE ST,CARMICHAEL ST,1,HR3,,INS,,NW,CONCRETE,N,N,2019/10/18 16:15:27+00,2021/03/26 15:53:04+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R5,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 2,,,,
